date_aaaammjj;menutypeplat;plat;specificites;repas
2021-04-06;Légumes;POMMES VAPEUR PERSILLEES;;DEJEUNER
2020-11-03;Dessert;POIRE WILLIAMS BIO AU MIEL ET AMANDES GRILLEES;Produit Agriculture Biologique;DEJEUNER
2020-09-08;Légumes;POMME DE TERRE ALLUMETTE FRITE;;DEJEUNER
2021-04-06;Dessert;FROMAGE BLANC CEVENOL ET CREME DE MARRON;;DEJEUNER
2020-11-05;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2020-09-08;Fromage;FROMAGE SALAGOU BREBIS/VACHE;Haute Qualité Alimentaire;DEJEUNER
2021-04-08;Légumes;QUINOA BIO;Produit Agriculture Biologique;DEJEUNER
2020-11-06;Légumes;GRATIN DAUPHINOIS UPC;;DEJEUNER
2020-09-10;Entrée;MAIS AU THON;;DEJEUNER
2021-04-08;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2020-11-06;Fromage;FROMAGE EDAM BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-09-10;Fromage;YAOURT NATURE BIO 1/2 ECREME ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2021-04-09;Entrée;SALADE MELANGE LOCALE BIO AU MAIS;Produit Agriculture Biologique;DEJEUNER
2020-11-06;Dessert;GATEAU DE SEMOULE IND;;DEJEUNER
2020-09-11;Entrée;OEUF A LA COQUE ET MOUILLETTE;;DEJEUNER
2021-04-09;Fromage;FROMAGE EDAM BIO IND;Produit Agriculture Biologique;DEJEUNER
